ID Cliente,Tamaño de Cliente,Meses Comprados,N° Meses Comprados,Activo
19,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
84,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
162,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
163,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo']",5,0
178,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
194,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
215,MICRO,['Julio'],1,0
216,MICRO,['Febrero'],1,0
226,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
254,MICRO,"['Enero', 'Febrero']",2,0
296,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
304,MICRO,"['Enero', 'Febrero']",2,0
317,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
331,MICRO,['Enero'],1,0
382,MICRO,"['Enero', 'Febrero']",2,0
409,MICRO,['Enero'],1,0
427,MEDIANO,['Marzo'],1,0
429,MICRO,"['Agosto', 'Julio', 'Junio', 'Marzo', 'Mayo']",5,0
473,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
510,MICRO,['Mayo'],1,0
513,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
532,MICRO,['Enero'],1,0
545,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
585,CHICO,['Enero'],1,0
590,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
597,MICRO,"['Enero', 'Febrero']",2,0
620,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
622,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
643,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
660,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
684,MICRO,['Enero'],1,0
740,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
793,MICRO,"['Enero', 'Febrero', 'Julio', 'Marzo']",4,0
844,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
849,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
855,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
864,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
880,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
898,MICRO,['Enero'],1,0
910,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
914,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
915,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
930,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
944,MICRO,"['Abril', 'Enero', 'Febrero', 'Julio', 'Marzo', 'Mayo']",6,0
956,MICRO,"['Abril', 'Enero', 'Febrero']",3,0
994,MICRO,['Enero'],1,0
1024,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1037,MICRO,"['Abril', 'Enero', 'Febrero', 'Julio', 'Marzo', 'Mayo']",6,0
1043,EXT-GDE,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1158,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1166,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1173,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1184,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1185,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1220,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1227,MICRO,"['Diciembre', 'Noviembre', 'Septiembre']",3,0
1229,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1231,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1253,MEDIANO,"['Enero', 'Febrero']",2,0
1273,MICRO,['Enero'],1,0
1286,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1297,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1299,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1318,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1333,GRANDE,"['Enero', 'Febrero', 'Marzo']",3,0
1367,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1386,MICRO,['Mayo'],1,0
1491,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1522,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1531,MICRO,"['Abril', 'Enero', 'Febrero']",3,0
1570,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1593,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1610,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1654,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1661,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1662,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1671,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1685,CHICO,['Marzo'],1,0
1688,MICRO,['Enero'],1,0
1708,MICRO,"['Enero', 'Febrero']",2,0
1717,MICRO,"['Diciembre', 'Noviembre']",2,0
1727,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1744,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1753,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1759,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1765,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1793,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1824,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1837,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1856,MICRO,"['Enero', 'Febrero']",2,0
1857,MICRO,"['Enero', 'Febrero']",2,0
1907,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
1915,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
1947,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1949,MICRO,"['Abril', 'Junio', 'Mayo']",3,0
1950,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1963,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
1965,CHICO,['Enero'],1,0
1974,MEDIANO,"['Enero', 'Febrero', 'Marzo']",3,0
1981,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
1983,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2000,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2002,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2018,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2055,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2069,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2075,MICRO,"['Enero', 'Febrero']",2,0
2087,MICRO,"['Agosto', 'Octubre', 'Septiembre']",3,0
2110,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2119,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2139,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2175,CHICO,"['Enero', 'Febrero', 'Marzo']",3,0
2180,MICRO,['Enero'],1,0
2220,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2225,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2232,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2249,MICRO,['Agosto'],1,0
2250,MICRO,['Enero'],1,0
2252,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2274,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2287,MICRO,"['Diciembre', 'Noviembre']",2,0
2289,CHICO,['Febrero'],1,0
2296,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2305,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2312,MICRO,['Enero'],1,0
2316,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2332,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2343,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2353,MICRO,['Enero'],1,0
2367,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2370,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2388,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2430,MICRO,['Enero'],1,0
2477,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2495,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2503,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2510,MICRO,"['Enero', 'Febrero', 'Marzo', 'Mayo']",4,0
2530,MEDIANO,"['Enero', 'Febrero']",2,0
2539,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2543,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2544,MICRO,"['Agosto', 'Noviembre', 'Octubre', 'Septiembre']",4,0
2550,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2553,MEDIANO,"['Enero', 'Febrero']",2,0
2558,CHICO,"['Enero', 'Febrero']",2,0
2566,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2576,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2578,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2597,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2598,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2610,MICRO,"['Enero', 'Febrero']",2,0
2617,MICRO,['Mayo'],1,0
2630,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2634,MICRO,"['Enero', 'Febrero']",2,0
2650,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2667,MICRO,['Enero'],1,0
2668,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2693,CHICO,"['Enero', 'Febrero', 'Marzo']",3,0
2695,MICRO,"['Abril', 'Febrero', 'Junio', 'Marzo', 'Mayo']",5,0
2703,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2721,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2733,MEDIANO,"['Enero', 'Febrero', 'Marzo']",3,0
2744,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2754,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2759,MICRO,['Enero'],1,0
2769,MICRO,"['Abril', 'Enero', 'Febrero']",3,0
2774,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2789,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2796,MICRO,['Julio'],1,0
2810,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2812,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2815,MICRO,['Enero'],1,0
2821,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2824,MICRO,"['Enero', 'Febrero']",2,0
2835,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2844,MICRO,['Noviembre'],1,0
2850,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2858,MICRO,['Enero'],1,0
2863,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2881,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
2885,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2900,MICRO,"['Febrero', 'Marzo']",2,0
2901,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2902,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2914,MICRO,"['Abril', 'Agosto']",2,0
2926,MEDIANO,"['Enero', 'Febrero']",2,0
2932,MICRO,"['Agosto', 'Diciembre', 'Enero', 'Noviembre', 'Octubre', 'Septiembre']",6,0
2953,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
2955,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
2957,MICRO,"['Enero', 'Febrero']",2,0
2964,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
2966,MICRO,['Enero'],1,0
2980,MICRO,['Enero'],1,0
3000,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3001,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3010,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3021,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3041,MICRO,['Enero'],1,0
3056,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3079,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Octubre', 'Septiembre']",6,0
3085,MICRO,"['Enero', 'Febrero']",2,0
3088,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3096,MICRO,['Enero'],1,0
3103,CHICO,"['Abril', 'Febrero', 'Junio', 'Marzo', 'Mayo']",5,0
3105,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3106,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3110,MICRO,['Marzo'],1,0
3112,MICRO,"['Enero', 'Febrero']",2,0
3119,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo']",5,0
3120,MEDIANO,"['Enero', 'Febrero', 'Marzo']",3,0
3129,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3149,MICRO,['Enero'],1,0
3151,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3166,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3180,MICRO,"['Enero', 'Febrero']",2,0
3185,MEDIANO,"['Enero', 'Febrero']",2,0
3194,MICRO,"['Abril', 'Febrero', 'Junio', 'Marzo', 'Mayo']",5,0
3228,MICRO,['Enero'],1,0
3243,MEDIANO,['Enero'],1,0
3246,MICRO,"['Abril', 'Enero', 'Marzo']",3,0
3251,MICRO,['Enero'],1,0
3261,MICRO,['Enero'],1,0
3272,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3286,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3299,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3300,MICRO,"['Enero', 'Febrero']",2,0
3303,MICRO,"['Enero', 'Febrero']",2,0
3305,MICRO,"['Julio', 'Junio']",2,0
3308,MEDIANO,"['Enero', 'Febrero', 'Marzo']",3,0
3320,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3334,MICRO,['Enero'],1,0
3336,MICRO,['Enero'],1,0
3338,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3343,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3352,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3367,MICRO,['Enero'],1,0
3375,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3378,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3383,MICRO,['Enero'],1,0
3388,MICRO,"['Abril', 'Enero', 'Febrero', 'Julio', 'Marzo', 'Mayo']",6,0
3394,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3395,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3407,MICRO,['Enero'],1,0
3440,CHICO,"['Enero', 'Febrero', 'Marzo']",3,0
3474,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3483,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3487,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3516,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3522,MICRO,"['Enero', 'Febrero']",2,0
3527,CHICO,['Enero'],1,0
3528,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3529,MICRO,"['Abril', 'Enero', 'Febrero', 'Julio', 'Marzo', 'Mayo']",6,0
3536,MICRO,['Enero'],1,0
3542,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3545,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
