ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Activo
1,1117.545,317,42,5,1
2,8682.975,2174,100,8,1
3,394.725,143,43,7,1
4,25064.835,5476,97,8,1
5,808.515,218,43,6,1
6,3318.375,670,37,6,1
7,51222.57,10551,119,8,1
8,7871.7,1963,99,8,1
9,5591.52,1416,77,7,1
10,6206.835,1371,71,8,1
11,12001.23,2792,88,8,1
12,2146.11,637,63,7,1
13,16410.405,3635,104,7,1
14,10170.645,2412,90,7,1
15,14118.87,2839,99,7,1
16,7859.835,2058,89,7,1
17,2945.955,785,56,7,1
18,1349.64,378,58,7,1
19,1786.185,476,63,7,0
20,4801.56,1178,63,7,1
21,1250.835,307,53,6,1
22,3489.165,1106,69,7,1
23,4584.405,1089,79,7,1
24,5596.77,1350,57,7,1
25,2385.585,616,52,7,1
26,12277.92,2981,90,8,1
27,20585.475,5081,123,8,1
28,4235.835,977,62,7,1
29,1173.66,356,59,7,1
30,6517.2300000000005,1391,65,7,1
31,6459.645,1656,83,7,1
32,7185.18,1706,69,7,1
33,4898.31,1267,76,7,1
34,3856.11,1047,79,7,1
35,906.555,193,26,5,1
36,3399.765,781,55,6,1
37,6427.395,1569,82,7,1
38,17448.69,4234,105,7,1
39,5690.85,1565,87,7,1
40,8714.145,2047,75,8,1
41,861.015,271,43,6,1
42,6484.755,1751,73,8,1
43,5386.215,1450,88,7,1
44,3051.81,912,77,7,1
45,11722.08,2602,95,8,1
46,3272.235,1014,84,7,1
47,1897.785,517,48,5,1
48,976.755,264,36,6,1
49,1384.23,446,72,7,1
50,2994.45,890,73,7,1
51,2446.695,675,62,7,1
52,1190.175,366,62,7,1
53,1202.25,365,53,6,1
54,11383.935,2785,99,8,1
55,9040.83,2014,60,6,1
56,3024.72,823,69,8,1
57,1800.945,555,65,7,1
58,716.79,206,49,7,1
59,47879.88,10151,121,8,1
60,5454.57,1477,83,7,1
61,1678.4850000000001,520,56,7,1
62,4253.43,1244,79,7,1
63,3254.205,864,70,8,1
64,7472.88,1789,78,7,1
65,10065.405,2395,90,8,1
66,2826.915,775,58,7,1
67,14076.9,3313,97,8,1
68,3060.81,940,75,7,1
69,1501.815,447,56,6,1
70,4478.805,1304,73,7,1
71,15232.02,3461,82,8,1
72,56493.12,11311,101,8,1
73,6772.05,1592,64,7,1
74,5473.02,1433,69,8,1
75,4119.99,1157,67,7,1
76,9493.08,1986,67,6,1
77,4241.445,1124,71,8,1
78,7658.205,2065,81,8,1
79,2198.985,592,60,7,1
80,1498.395,457,59,6,1
81,17456.76,4097,98,7,1
82,3768.6,1075,77,7,1
83,6026.115,1615,74,7,1
84,126.945,41,23,5,0
85,1685.115,406,37,6,1
86,2672.745,834,76,7,1
87,5968.14,1726,86,7,1
88,10147.005,2536,89,7,1
89,7885.605,1811,57,8,1
90,6031.815,1418,72,8,1
91,2382.255,547,46,6,1
92,13758.495,3192,99,8,1
93,7676.64,1985,82,7,1
94,8610.315,2051,86,8,1
95,15406.74,3396,82,8,1
96,1365.06,394,39,6,1
97,3323.235,886,52,7,1
98,19934.265,4214,102,8,1
99,18182.145,4102,90,8,1
100,15896.28,2971,73,7,1
101,4870.89,1299,85,7,1
102,4479.465,1289,62,7,1
103,8429.61,1950,74,7,1
104,16168.74,3711,94,8,1
105,13377.0,2981,85,8,1
106,8350.71,1715,69,7,1
107,2662.56,747,64,7,1
108,3996.405,1162,50,6,1
109,19319.31,4008,99,8,1
110,12821.61,2905,80,8,1
111,12378.45,2875,93,8,1
112,1117.065,343,55,6,1
113,12362.205,2992,81,7,1
114,3196.095,977,76,7,1
115,1096.59,339,59,7,1
116,1946.715,620,67,7,1
117,34323.435,7095,121,8,1
118,12658.905,2986,90,8,1
119,4206.8550000000005,1122,66,7,1
120,11367.555,2973,112,8,1
121,1539.78,400,54,6,1
122,2588.445,653,71,7,1
123,7460.475,1710,79,7,1
124,4286.61,1121,66,8,1
125,11587.965,2365,61,7,1
126,1351.725,404,60,6,1
127,7191.24,1807,84,8,1
128,6955.845,1586,73,7,1
129,1794.465,581,72,7,1
130,7128.84,1826,89,7,1
131,485.475,132,29,6,1
132,4517.8949999999995,1255,92,7,1
133,7707.87,2056,88,7,1
134,3263.73,692,45,8,1
135,5086.05,1243,67,8,1
136,10393.92,2459,91,8,1
137,3948.96,1152,77,7,1
138,898.8,292,51,6,1
139,3601.92,1036,71,8,1
140,3515.61,916,65,7,1
141,2768.28,776,72,6,1
142,11599.17,2925,54,7,1
143,2166.405,643,86,7,1
144,7268.895,2079,67,7,1
145,5124.09,1276,56,7,1
146,26241.510000000002,5561,101,7,1
147,5647.755,1335,53,7,1
148,1195.74,353,57,6,1
149,1464.33,414,46,5,1
150,9152.64,2227,70,7,1
151,2161.11,593,80,7,1
152,5050.725,1420,88,7,1
153,11604.81,2744,81,7,1
154,9594.165,2426,100,8,1
155,7038.84,1827,67,7,1
156,12608.415,3075,90,7,1
157,1192.56,323,47,6,1
158,8114.79,1715,88,8,1
159,4833.84,1372,93,8,1
160,2235.885,737,80,7,1
161,4924.005,1354,75,7,1
162,858.705,200,36,7,0
163,149.13,41,21,5,0
164,1703.73,470,64,7,1
165,13486.05,2842,70,7,1
166,3630.42,1046,66,7,1
167,5789.145,1406,79,8,1
168,8438.775,1923,69,8,1
169,1349.22,440,48,6,1
170,1016.0699999999999,218,30,4,1
171,1270.035,380,56,7,1
172,3343.275,1065,74,7,1
173,8003.7300000000005,1931,69,7,1
174,3971.37,1033,83,7,1
175,10087.755,2701,81,8,1
176,2230.815,660,57,7,1
177,9030.375,2424,105,8,1
178,157.875,57,31,5,0
179,5756.16,1566,79,7,1
180,9002.805,2329,75,7,1
181,7508.13,1770,81,7,1
182,10770.06,2575,111,7,1
183,1903.365,553,65,7,1
184,5125.6050000000005,1416,90,8,1
185,9964.26,2006,57,7,1
186,2131.875,599,61,7,1
187,3783.0,1068,90,8,1
188,891.645,272,32,6,1
189,18338.775,4394,92,8,1
190,4225.575,1000,63,7,1
191,4374.795,1250,77,7,1
192,11564.985,2834,85,7,1
193,2855.13,803,70,7,1
194,2064.525,479,66,6,0
195,8073.27,1958,87,8,1
196,17198.895,3927,93,8,1
197,1219.86,339,51,5,1
198,855.585,265,45,6,1
199,10374.615,2168,82,7,1
200,7176.81,1912,71,7,1
201,12681.33,3104,85,7,1
202,8563.41,2143,90,7,1
203,11574.51,2833,96,8,1
204,8152.2300000000005,2050,80,7,1
205,5474.85,1474,83,7,1
206,1793.775,422,45,6,1
207,2524.905,693,72,7,1
208,1583.01,366,37,5,1
209,2858.625,868,72,7,1
210,5451.615,1446,62,7,1
211,9822.765,2455,86,7,1
212,468.945,117,30,6,1
213,6252.84,1611,70,7,1
214,496.32,125,28,7,1
215,73.455,23,10,3,0
216,1.785,1,1,1,0
217,3347.445,958,82,7,1
218,4201.185,1097,76,7,1
219,6272.01,1515,86,8,1
220,7286.175,1933,99,7,1
221,5478.765,1462,87,7,1
222,1623.18,505,67,7,1
223,7535.07,1981,67,7,1
224,3166.44,821,74,7,1
225,26552.265,5762,95,8,1
226,388.59,111,27,6,0
227,13033.65,3167,105,8,1
228,2730.795,819,64,7,1
229,12592.095,2807,76,8,1
230,3924.69,1056,75,6,1
231,1394.595,446,41,6,1
232,4391.37,1061,82,8,1
233,5739.915,1133,67,7,1
234,9338.13,1879,80,7,1
235,1840.605,538,66,7,1
236,3202.125,981,63,7,1
237,2231.16,694,65,7,1
238,6470.685,1635,80,8,1
239,7071.3,1831,81,8,1
240,8660.34,1921,85,8,1
241,2144.52,627,62,7,1
242,18249.63,4257,90,8,1
243,1397.4,394,56,7,1
244,14769.255000000001,3404,97,7,1
245,1849.47,543,64,7,1
246,1910.295,508,63,7,1
247,9501.795,2236,85,7,1
248,24405.495,5044,95,8,1
249,1403.22,384,49,7,1
250,3254.505,930,74,7,1
251,5203.725,1389,69,7,1
252,6467.685,1733,89,7,1
253,4663.365,1304,79,7,1
254,43.905,10,11,5,0
255,1722.615,537,55,7,1
256,5865.255,1579,76,8,1
257,3306.795,918,77,7,1
258,3488.775,847,69,7,1
259,5522.685,1510,70,7,1
260,12886.365,3105,91,7,1
261,5621.22,1596,91,8,1
262,7264.035,1604,97,8,1
263,10202.04,2489,86,7,1
264,5098.08,1362,78,7,1
265,13439.07,2646,80,7,1
266,3260.46,1004,67,7,1
267,2299.08,681,56,7,1
268,8408.13,1855,88,7,1
269,5435.88,1495,81,7,1
270,2965.425,580,32,4,1
271,1747.38,481,57,6,1
272,11697.435,2774,82,8,1
273,31918.305,6404,112,8,1
274,1253.265,396,61,7,1
275,3638.205,883,68,7,1
276,2788.545,745,79,8,1
277,9039.45,2083,74,7,1
278,3698.19,1132,86,7,1
279,11268.33,2602,81,7,1
280,7955.4,1750,73,8,1
