ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Cluster
1,248.14499999999998,70,19,5,3,0
2,905.55,208,33,7,3,2
3,205.395,67,26,7,3,2
4,2867.79,646,54,7,3,1
5,60.644999999999996,14,7,3,3,0
6,1001.4449999999999,214,20,4,3,0
7,5337.375,1134,73,7,3,1
8,838.995,213,42,6,3,2
9,828.975,191,34,5,3,0
10,1209.3600000000001,286,47,8,3,2
11,1610.58,361,40,6,3,2
12,312.81,85,16,4,3,0
13,2015.475,454,63,7,3,1
14,1391.655,324,47,6,3,2
15,1616.055,325,41,5,3,2
16,729.75,178,37,7,3,2
17,441.495,113,24,4,3,0
18,478.275,141,39,7,3,2
19,1246.845,331,57,7,3,2
20,769.11,193,25,5,3,0
21,326.85,86,34,5,3,0
22,525.6,159,25,5,3,0
23,1745.4,403,62,6,3,2
24,670.065,152,21,5,3,0
25,269.25,70,20,5,3,0
26,1405.965,351,54,8,3,2
27,2162.28,544,75,6,3,1
28,546.315,123,30,6,3,2
29,181.08,58,25,5,3,0
30,599.745,130,21,5,3,0
31,995.13,251,50,6,3,2
32,799.2,187,32,4,3,0
33,644.37,166,38,6,3,2
34,436.8,119,30,5,3,0
35,318.6,59,8,2,3,0
36,285.39,72,25,6,3,0
37,983.655,238,42,7,3,2
38,2253.975,527,62,6,3,1
39,713.52,188,45,5,3,2
40,996.24,233,43,6,3,2
41,157.425,44,15,5,3,0
42,609.75,161,39,6,3,2
43,661.47,179,41,6,3,2
44,283.35,80,26,4,3,0
45,1112.85,258,46,6,3,2
46,363.975,109,31,5,3,0
47,324.675,77,18,5,3,0
48,317.505,76,17,4,3,0
49,302.325,91,34,5,3,0
50,400.38,127,35,7,3,2
51,521.4,140,36,4,3,0
52,143.115,46,18,5,3,0
53,206.64,64,29,6,3,0
54,1200.135,309,44,6,3,2
55,1312.71,296,36,5,3,2
56,370.26,101,26,6,3,0
57,173.175,54,23,5,3,0
58,279.96,82,33,6,3,2
59,4952.34,1055,81,7,3,1
60,590.835,162,28,6,3,2
61,164.25,51,18,5,3,0
62,969.9,261,43,6,3,2
63,457.875,117,31,6,3,2
64,679.86,171,30,5,3,0
65,1069.86,269,45,7,3,2
66,317.59499999999997,74,14,2,3,0
67,2433.4500000000003,546,66,8,3,1
68,510.15,146,41,6,3,2
69,228.255,61,22,5,3,0
70,626.445,165,33,5,3,0
71,1491.525,347,48,6,3,2
72,7842.75,1639,63,7,3,1
73,884.67,192,28,4,3,0
74,581.505,159,40,6,3,2
75,615.705,174,31,6,3,2
76,1322.055,278,36,5,3,2
77,757.08,201,41,5,3,2
78,1364.625,349,40,5,3,2
79,397.74,116,31,6,3,2
80,159.81,47,21,5,3,0
81,1929.03,449,50,7,3,2
82,542.13,149,33,5,3,0
83,678.045,169,26,5,3,0
